,Country,Health.expenditures....of.GDP.,Literacy....,Physicians.density..physicians.1.000.population.,Obesity - adult prevalence rate (%),Life expectancy at birth (years),H_bed_density,Imigrate_Rate,Pop_Density,Death Rate,Recovery Rate,GDP - per capita (PPP) (US$),Unemployment rate (%)
113,Malaysia,4.0,9.726253132630262,1.51,15.6,75.4,1.9,-0.3,4.574710978503383,0.01644275115299779,0.4968919189893724,29100.0,3.4
114,Maldives,11.5,9.964938534682489,1.04,8.6,76.0,4.3,-12.7,7.183870715062453,0.0,0.8,19200.0,2.9
115,Mali,5.8,5.75325994545701,0.14,8.6,60.8,0.1,-3.9,2.772588722239781,0.09027777777777778,0.2361111111111111,2200.0,7.9
116,Malta,9.6,9.715966241192895,3.83,28.9,82.7,4.7,7.8,7.259819610363186,0.0076335877862595426,0.11195928753180663,41900.0,4.6
117,Martinique,6.536708860759492,9.223027354217395,1.910361445783132,18.593333333333337,73.69005524861878,3.2655405405405413,0.3152941176470587,0.0,0.05063291139240506,0.4620253164556962,0.0,0.0
118,Mauritania,4.6,7.2180329730474355,0.18,12.7,63.8,3.2655405405405413,-0.8,1.6094379124341003,0.14285714285714285,0.2857142857142857,4500.0,10.2
119,Mauritius,5.5,9.654014708917737,2.54,10.8,76.0,3.7,0.0,6.507277712385012,0.027777777777777776,0.1574074074074074,22300.0,7.1
120,Mayotte,6.536708860759492,9.223027354217395,1.910361445783132,18.593333333333337,73.69005524861878,3.2655405405405413,0.3152941176470587,0.0,0.013824884792626729,0.3179723502304148,0.0,0.0
121,Mexico,5.9,9.741663102366044,2.25,28.9,76.3,1.5,-1.8,4.174387269895637,0.07519911094647158,0.3935914058158919,19900.0,3.4
122,Moldova,10.2,9.969954864491614,3.2,18.9,71.3,5.8,-9.3,4.634728988229636,0.02068252326783868,0.06928645294725956,6700.0,4.1
123,Monaco,2.0,9.223027354217395,6.56,18.593333333333337,89.4,13.8,6.5,9.639847474564585,0.010752688172043013,0.06451612903225806,115700.0,2.0
124,Mongolia,3.9,9.919677414109795,2.89,20.6,70.2,7.0,-0.8,1.0986122886681098,0.0,0.16666666666666666,13000.0,8.0
125,Montenegro,6.0,9.934787365615835,2.33,23.3,73.69005524861878,4.0,-4.9,3.8066624897703196,0.01413427561837456,0.1625441696113074,17800.0,16.1
126,Montserrat,6.536708860759492,9.223027354217395,1.910361445783132,18.593333333333337,74.8,3.2655405405405413,0.0,3.970291913552122,0.0,0.09090909090909093,34000.0,5.6
127,Morocco,5.5,8.276472678623424,0.73,26.1,77.3,1.1,-3.1,4.356708826689592,0.06673728813559322,0.1149364406779661,8600.0,10.2
128,Mozambique,5.4,7.483314773547883,0.07,7.2,54.1,0.7,-1.8,3.5553480614894135,0.0,0.07142857142857142,1300.0,24.5
129,Myanmar,5.1,8.694826047713663,0.86,5.8,68.6,3.2655405405405413,0.3152941176470587,0.0,0.06349206349206349,0.031746031746031744,6300.0,4.0
130,Namibia,8.9,9.049861877399014,1.910361445783132,17.2,64.4,2.7,0.0,1.3862943611198906,0.0,0.1875,11200.0,34.0
131,Nepal,6.1,7.993747556684537,0.65,4.1,71.3,3.0,-2.5,5.313205979041787,0.0,0.0625,2700.0,3.0
132,Netherlands,10.7,9.223027354217395,3.51,20.4,81.5,4.7,1.9,6.025865973825314,0.1074072723294066,0.009117765053430104,53900.0,4.9
133,New Caledonia,6.536708860759492,9.843779761859771,2.22,18.593333333333337,78.0,3.2655405405405413,3.9,2.772588722239781,0.0,0.05555555555555555,31100.0,14.7
134,New Zealand,9.3,9.223027354217395,3.03,30.8,81.4,2.8,2.2,2.8903717578961645,0.006493506493506494,0.5252525252525253,39000.0,4.7
135,Nicaragua,7.8,9.09945053286186,1.01,23.7,73.7,0.9,-2.6,3.871201010907891,0.1111111111111111,0.4444444444444444,5900.0,6.4
136,Niger,7.2,4.370354676682432,0.05,5.5,56.3,3.2655405405405413,-0.5,2.833213344056216,0.02456140350877193,0.15789473684210525,1200.0,0.3
137,Nigeria,3.6,7.720103626247513,0.38,8.9,59.3,3.2655405405405413,-0.2,5.3981627015177525,0.02949061662198392,0.26541554959785524,5900.0,16.5
138,North Macedonia,6.1,9.889388252060893,2.87,22.4,75.9,3.2655405405405413,0.3152941176470587,0.0,0.048458149779735685,0.0947136563876652,14900.0,22.4
139,Norway,10.0,9.223027354217395,4.63,23.1,82.0,3.8,5.3,2.8903717578961645,0.02098746791484221,0.0048316472897478495,72100.0,4.2
140,Oman,3.8,9.803060746521975,1.97,27.0,75.9,1.6,-0.4,2.772588722239781,0.004920049200492005,0.15990159901599016,46000.0,0.0
141,Pakistan,2.7,7.60920495189872,0.98,8.6,68.4,0.6,-1.2,5.568344503761097,0.016446804865513105,0.23608017817371935,5400.0,6.0
142,Palestine,6.536708860759492,9.223027354217395,1.910361445783132,18.593333333333337,73.69005524861878,3.2655405405405413,0.3152941176470587,0.0,0.006493506493506494,0.2012987012987013,0.0,0.0
143,Panama,7.0,9.746794344808963,1.57,22.7,78.9,2.3,-0.2,3.9318256327243257,0.026580861779518745,0.02014549524342473,25400.0,6.0
144,Papua New Guinea,3.8,8.012490249604053,0.05,21.3,67.5,3.2655405405405413,0.0,2.772588722239781,0.0,0.0,3700.0,2.5
145,Paraguay,7.8,9.731392500562292,1.37,20.3,77.6,1.3,-0.1,2.8903717578961645,0.049689440993788817,0.14285714285714285,12800.0,5.7
146,Peru,5.3,9.705668446840743,1.27,19.7,74.2,1.6,-2.1,3.2188758248682006,0.022323595069397264,0.27846258371348154,13500.0,6.9
147,Philippines,4.4,9.813256340277675,1.28,6.4,69.6,1.0,-1.9,5.869296913133774,0.06413938349607505,0.056480949645797425,8400.0,5.7
148,Poland,6.3,9.989994994993742,2.4,23.1,77.9,6.5,-0.4,4.820281565605037,0.03651763399055818,0.08580949736184393,29600.0,4.9
149,Portugal,9.0,9.78263768111648,3.34,20.8,80.9,3.4,-0.2,4.727387818712341,0.03249656121045392,0.019887666208161396,30500.0,8.9
150,Qatar,3.1,9.864076236526156,2.78,35.1,79.0,1.2,11.5,5.3230099791384085,0.002042007001166861,0.1088098016336056,124100.0,8.9
151,Romania,5.0,9.939818911831342,2.26,22.5,75.6,6.3,-0.2,4.51085950651685,0.0510248582642826,0.15278383485971794,24600.0,4.9
152,Russia,5.6,9.984988733093292,4.01,23.1,71.3,8.2,1.7,2.1972245773362196,0.008056108425741636,0.08027675101886078,27900.0,5.2
153,Rwanda,7.9,8.396427811873332,0.13,5.8,64.5,3.2655405405405413,-0.5,6.139884552226255,0.0,0.3656716417910448,2100.0,2.7
154,S. Korea,7.4,9.223027354217395,2.37,4.7,82.5,11.5,2.4,6.248042874508429,0.0212444528373147,0.7191011235955056,39500.0,3.7
155,Saint Kitts and Nevis,5.6,9.223027354217395,2.52,22.9,76.2,4.8,1.2,5.318119993844216,0.0,0.0,28200.0,4.5
156,Saint Lucia,6.0,9.223027354217395,0.11,19.7,78.1,1.3,-2.2,5.598421958998375,0.0,0.7333333333333333,14400.0,20.0
